Price,Close,EMA200,Upper_Buffer,Lower_Buffer,SMA200,SMA40
Ticker,^IXIC,,,,,
Date,,,,,,
2024-10-21,18540.01,16757.43,17260.16,16254.71,16805.34,17843.88
2024-10-22,18579.77,16775.57,17278.83,16272.3,16825.62,17865.23
2024-10-23,18276.65,16790.5,17294.22,16286.79,16842.78,17878.27
2024-10-24,18415.49,16806.67,17310.87,16302.47,16860.57,17899.76
2024-10-25,18518.61,16823.7,17328.42,16318.99,16878.32,17924.81
2024-10-28,18567.19,16841.05,17346.28,16335.82,16896.3,17946.15
2024-10-29,18712.75,16859.68,17365.47,16353.89,16915.0,17985.56
2024-10-30,18607.93,16877.07,17383.38,16370.76,16933.32,18023.65
2024-10-31,18095.15,16889.19,17395.87,16382.52,16949.52,18047.84
2024-11-01,18239.92,16902.63,17409.71,16395.55,16965.44,18086.57
2024-11-04,18179.98,16915.34,17422.8,16407.88,16979.78,18118.95
2024-11-05,18439.17,16930.5,17438.42,16422.59,16995.18,18154.29
2024-11-06,18983.47,16950.93,17459.46,16442.4,17012.97,18193.98
2024-11-07,19269.46,16974.0,17483.22,16464.78,17031.9,18236.48
2024-11-08,19286.78,16997.01,17506.93,16487.1,17050.78,18276.55
2024-11-11,19298.76,17019.92,17530.52,16509.32,17070.0,18319.21
2024-11-12,19281.4,17042.42,17553.69,16531.15,17088.27,18360.55
2024-11-13,19230.72,17064.19,17576.12,16552.27,17106.87,18401.98
2024-11-14,19107.65,17084.53,17597.06,16571.99,17126.59,18429.32
2024-11-15,18680.12,17100.4,17613.42,16587.39,17143.18,18447.62
2024-11-18,18791.81,17117.23,17630.75,16603.72,17159.0,18468.06
2024-11-19,18987.47,17135.84,17649.92,16621.77,17175.95,18490.88
2024-11-20,18966.14,17154.05,17668.68,16639.43,17192.73,18512.98
2024-11-21,18972.42,17172.15,17687.31,16656.98,17208.81,18532.53
2024-11-22,19003.65,17190.37,17706.08,16674.66,17224.86,18554.64
2024-11-25,19054.84,17208.92,17725.19,16692.66,17240.18,18576.28
2024-11-26,19174.3,17228.48,17745.33,16711.63,17256.34,18607.88
2024-11-27,19060.48,17246.71,17764.11,16729.31,17273.36,18636.26
2024-11-29,19218.17,17266.33,17784.32,16748.34,17290.16,18668.75
2024-12-02,19403.95,17287.6,17806.22,16768.97,17307.65,18700.4
2024-12-03,19480.91,17309.42,17828.7,16790.14,17326.17,18739.33
2024-12-04,19735.12,17333.56,17853.56,16813.55,17346.7,18778.13
2024-12-05,19700.26,17357.1,17877.82,16836.39,17367.29,18813.35
2024-12-06,19859.77,17382.01,17903.47,16860.55,17386.38,18852.79
2024-12-09,19736.69,17405.44,17927.6,16883.27,17405.08,18887.64
2024-12-10,19687.24,17428.14,17950.99,16905.3,17423.64,18917.25
2024-12-11,20034.89,17454.08,17977.7,16930.46,17443.64,18960.23
2024-12-12,19902.84,17478.44,18002.8,16954.09,17463.41,18998.63
2024-12-13,19926.72,17502.81,18027.89,16977.72,17482.59,19037.46
2024-12-16,20173.89,17529.38,18055.27,17003.5,17502.08,19079.56
2024-12-17,20109.06,17555.05,18081.7,17028.4,17521.59,19118.79
2024-12-18,19392.69,17573.34,18100.54,17046.14,17538.85,19139.11
2024-12-19,19372.77,17591.24,18118.98,17063.5,17555.56,19166.52
2024-12-20,19572.6,17610.96,18139.29,17082.63,17572.06,19195.44
2024-12-23,19764.88,17632.39,18161.36,17103.42,17590.45,19226.6
2024-12-24,20031.13,17656.26,18185.94,17126.57,17610.51,19263.2
2024-12-26,20020.36,17679.78,18210.17,17149.39,17629.29,19295.89
2024-12-27,19722.03,17700.1,18231.1,17169.1,17647.01,19323.74
2024-12-30,19486.79,17717.88,18249.42,17186.34,17663.8,19358.53
2024-12-31,19310.79,17733.73,18265.74,17201.72,17680.49,19385.3
2025-01-02,19280.79,17749.12,18281.6,17216.65,17696.38,19412.82
2025-01-03,19621.68,17767.76,18300.79,17234.72,17713.65,19442.39
2025-01-06,19864.98,17788.62,18322.28,17254.96,17731.13,19464.42
2025-01-07,19489.68,17805.55,18339.72,17271.38,17746.57,19469.93
2025-01-08,19478.88,17822.2,18356.87,17287.53,17761.82,19474.73
2025-01-10,19161.63,17835.53,18370.59,17300.46,17775.7,19471.3
2025-01-13,19088.1,17847.99,18383.43,17312.55,17789.56,19466.47
2025-01-14,19044.39,17859.89,18395.69,17324.1,17802.79,19461.81
2025-01-15,19511.23,17876.33,18412.62,17340.04,17818.45,19471.9
2025-01-16,19338.29,17890.87,18427.6,17354.15,17833.16,19488.36
2025-01-17,19630.2,17908.18,18445.42,17370.93,17850.1,19509.32
2025-01-21,19756.78,17926.57,18464.37,17388.78,17867.5,19528.55
2025-01-22,20009.34,17947.3,18485.72,17408.88,17887.3,19554.63
2025-01-23,20053.68,17968.26,18507.3,17429.21,17906.33,19581.66
2025-01-24,19954.3,17988.02,18527.66,17448.38,17924.83,19605.43
2025-01-27,19341.83,18001.49,18541.53,17461.44,17940.01,19612.6
2025-01-28,19733.59,18018.72,18559.29,17478.16,17957.82,19626.58
2025-01-29,19632.32,18034.78,18575.82,17493.74,17973.77,19640.88
2025-01-30,19681.75,18051.17,18592.7,17509.63,17991.31,19652.47
2025-01-31,19627.44,18066.85,18608.86,17524.85,18010.02,19658.06
2025-02-03,19391.96,18080.04,18622.44,17537.64,18027.65,19655.83
2025-02-04,19654.02,18095.7,18638.57,17552.83,18047.5,19653.81
2025-02-05,19692.33,18111.59,18654.93,17568.24,18067.96,19653.61
2025-02-06,19791.99,18128.31,18672.15,17584.46,18090.51,19651.91
2025-02-07,19523.4,18142.19,18686.45,17597.92,18110.87,19646.58
2025-02-10,19714.27,18157.83,18702.56,17613.09,18130.96,19647.26
2025-02-11,19643.86,18172.62,18717.79,17627.44,18150.61,19637.48
2025-02-12,19649.95,18187.32,18732.94,17641.7,18170.8,19631.16
2025-02-13,19945.64,18204.81,18750.96,17658.67,18190.89,19631.63
2025-02-14,20026.77,18222.94,18769.63,17676.25,18211.11,19627.95
2025-02-18,20041.26,18241.03,18788.26,17693.8,18233.03,19626.26
2025-02-19,20056.25,18259.1,18806.87,17711.32,18255.28,19642.85
2025-02-20,19962.36,18276.04,18824.32,17727.76,18275.89,19657.59
2025-02-21,19524.01,18288.46,18837.11,17739.81,18292.73,19656.37
2025-02-24,19286.93,18298.4,18847.35,17749.44,18307.42,19644.42
2025-02-25,19026.39,18305.64,18854.81,17756.47,18320.88,19619.31
2025-02-26,19075.26,18313.3,18862.7,17763.9,18334.75,19595.68
2025-02-27,18544.42,18315.6,18865.06,17766.13,18345.74,19566.24
2025-02-28,18847.28,18320.89,18870.51,17771.26,18358.27,19550.25
2025-03-03,18350.19,18321.18,18870.81,17771.54,18368.08,19526.24
2025-03-04,18285.16,18320.82,18870.45,17771.2,18376.95,19501.34
2025-03-05,18552.73,18323.13,18872.82,17773.43,18386.0,19474.62
2025-03-06,18069.26,18320.6,18870.22,17770.98,18392.86,19429.73
2025-03-07,18196.22,18319.36,18868.95,17769.78,18400.41,19397.39
